name,image,sire,bms,price,sex,hair color,predictions
ヴィニーの22,/insel/23-04_Vigny22.jpg,エピファネイア,ディープインパクト,35000000,メス,鹿毛,49494564.0
マンディの22,/insel/23-06_Mandy22.jpg,ナダル,ディープインパクト,20000000,メス,鹿毛,29570874.0
ユイフィーユの22,/insel/23-13_YuiFille22.jpg,レイデオロ,ディープインパクト,40000000,オス,黒鹿毛,29494736.0
ソフトライムの22,/insel/23-20_SoftRime22.jpg,ハービンジャー,フジキセキ,22000000,メス,栗毛,30387226.0
アイリスフィールの22,/insel/23-17_IrisFeel22.jpg,ドゥラメンテ,ハービンジャー,40000000,オス,青鹿毛,30521224.0
エルパンドールの22,/insel/23-18_EllePaind_Or22.jpg,ヘニーヒューズ,ネオユニヴァース,20000000,メス,鹿毛,26036628.0
サラスの22,/insel/23-08_Solace22.jpg,ブリックスアンドモルタル,オルフェーヴル,35000000,メス,栗毛,28053862.0
